name,price,category,in_stock,photo_url,description
"heart keychain — red","6","all-time","yes","/products/crochet-heart-keychain-red.png","a little crocheted heart in cherry red to clip onto your keys, bag or pencil case. made with soft cotton yarn and a sturdy clasp."
"heart keychain — hot pink","6","all-time","yes","/products/crochet-heart-keychain-hot-pink.png","a bright hot-pink crochet heart keychain, soft, squishy and just the right size to brighten up your everyday bits."
"heart keychain — light pink","6","all-time","yes","/products/crochet-heart-keychain-light-pink.png","a soft pastel-pink crochet heart to clip wherever you like. made one at a time with cotton yarn and lots of love."
"heart keychain — plum","6","all-time","no","/products/crochet-heart-keychain-plum.png","a deep plum crochet heart keychain, the cosy autumn colourway. currently sold out, but message me to request one."
"heart keychain bundle","20","limited","yes","/products/multiple-crochet-heart-keychains.png","a set of my mini crochet hearts in a mix of colours, perfect for gifting, or keeping a few and sharing the rest."
"star jar keychain","8","one-time","yes","/products/star-jar-keychains.png","a tiny crocheted jar filled with little stars, a sweet good-luck charm for your keys or bag. a one-off make."
"mini drawstring pouch — brown","14","limited","yes","/products/mini-drawstring-pouch-brown.png","a wee crocheted pouch with a drawstring top in warm brown, just right for coins, earphones or little treasures."
"mini drawstring pouch — cream","14","limited","yes","/products/mini-drawstring-pouch-cream-white.png","a soft cream drawstring pouch, a neutral little carry-all for your tiny bits and bobs. pulls closed snugly."
"mini drawstring pouch — grey","14","limited","yes","/products/mini-drawstring-pouch-grey.png","a calm grey drawstring pouch, hooked up by hand, perfect for keeping small treasures tucked away safely."
"mini drawstring pouch — dark grey","14","limited","no","/products/mini-drawstring-pouch-dark-grey.png","a deep charcoal drawstring pouch with a cinch top. currently sold out, drop me a request and i'll make you one."
"small bag — black","24","all-time","yes","/products/black-small-bag.png","a roomy little handmade bag in classic black with a sturdy handle, great for everyday bits and short trips out."
"small bag — navy","24","all-time","yes","/products/navy-small-bag.png","a deep navy crochet bag with a comfy handle, a versatile everyday make that goes with just about everything."
"small bag — cream","24","all-time","yes","/products/cream-white-small-bag.png","a soft cream handmade bag, light, neutral and roomy enough for your everyday essentials. handle included."
"small bag — dark grey","24","all-time","yes","/products/dark-grey-small-bag.png","a smart dark-grey crochet bag with a sturdy handle, an easy everyday carry for bits and bobs on the go."
"leg warmers — black","22","limited","yes","/products/black-leg-warmers.png","cosy ribbed crochet leg warmers in black, soft, stretchy and made to layer over tights or jeans through the colder months."
"leg warmers — brown","22","limited","yes","/products/brown-leg-warmers.png","warm brown ribbed leg warmers, hooked up to be snug and stretchy, a cosy autumn layer for chilly days."
"leg warmers — honey","22","limited","yes","/products/honey-leg-warmers.png","a golden honey colourway of my ribbed crochet leg warmers, soft, stretchy and lovely to layer up in."
"leg warmers — cream","22","limited","yes","/products/cream-white-leg-warmers.png","cream ribbed crochet leg warmers, a soft neutral pair that's cosy, stretchy and made to keep you snug."
